,TenBaiHat,TacGia,TheLoai,,
1731,Sóng Hướng Biển Đông,V.A,2,,
1732,Cao Nguyên Đá 2,Ngũ Cung,2,,
1733,Khuất Xa,9th Dimension,2,,
1734,Đôi Chân Trần,Phạm Đức Thành,2,,
1735,November Rain - Cơn Mưa Mùa Đông Tháng 11,Tuấn Thelight,2,,
1736,Say (Live),MicroWave,2,,
1737,Lý Ngựa Ô Lên Đồi,Minh Chi,2,,
1738,Ra Khơi,Hoài Nam,2,,
1739,Xa,Oringchains,2,,
1740,Tôi,iTễu,2,,
1741,Bí Mật Của Người Ra Đi (Acoustic Vocalist Hải Châu),Hạc San,2,,
1742,Giấc Mơ Xa Vời,Cụ Minh Rock,2,,
1743,Hạnh Phúc Bắt Đầu,Fanatic Band,2,,
1744,Mặt Trời (Đất Rồng OST),Oringchains,2,,
1745,Thuyền Và Biển,UnlimiteD,2,,
1746,Rock Gọi Đò,Roc Piin,2,,
1747,Little Drumer Boy,UnlimiteD,2,,
1748,Con Thuyền,Re-Cycle,2,,
1749,Trầm Khúc (Sadness Lullaby),Trần Thu Hà,2,,
1750,Bí Mật Của Người Ra Đi,Hạc San,2,,
1751,Dear Cancer,MONOCYCLE,2,,
1752,Khởi Nghiệp Vì Tương Lai,"Linh Giang, Tạ Tấn",2,,
1753,Gọi Tên Em,Burning Ballads,2,,
1754,Vô Cực,KOP,2,,
1755,Hoa Ban Trắng,Hoàng Hải,2,,
1756,Chuyện Cũ,V.A,2,,
1757,Pain,Oringchains,2,,
1758,26 Ngày,Oringchains,2,,
1759,Sét Đánh Lý Thông,Atmosphere,2,,
1760,Hoài Niệm,Ygaria,2,,
1761,Tôi Là Ai Em Là Ai,Lê Việt Anh,2,,
1762,Bông Hồng Thủy Tinh,Hoàng Chiến,2,,
1763,Không Trọng Lưc (Part1),Empty Spaces,2,,
1764,Bí Mật Tam Giác Vàng,Văn Thắng,2,,
1765,Tâm Hồn Của Đá (Nhân Tố Bí Ẩn 2016),"Giang Hồng Ngọc, SGirls",2,,
1766,Khoảng Không,Oringchains,2,,
1767,Ly Cà Phê Ban Mê,Minh Ngọc,2,,
1768,Góc Phố Đêm,Bụi Gió,2,,
1769,Hoan Ca (Joys),Trần Thu Hà,2,,
1770,Cô Gái Tóc Ngắn,Mimetals,2,,
1771,Vì Đâu,Minh Chi,2,,
1772,Nghêu Ngao Sử Việt,Nhà Kho,2,,
1773,Nhắm Mắt,KOP,2,,
1774,60 Năm,Thanh Hà,2,,
1775,Nơi Xa Lạ,Re-Cycle,2,,
1776,Tâm Hồn Của Đá (Giọng Hát Việt Nhí 2016),Bùi Gia Quý,2,,
1777,Go On Việt Nam,Tuấn Nghĩa,2,,
1778,Tình Ca,UnlimiteD,2,,
1779,Vết Nhơ (Live),Quái Vật Tí Hon,2,,
1780,Chuyện Trên Trời,Crazy Frogs,2,,
1781,Bay Qua Biển Đông,V.A,2,,
1782,Ước Mơ (Live),MicroWave,2,,
1783,Chém Gió,Wừu,2,,
1784,Trong Óc Người Điên,Wừu,2,,
1785,Phụ Nữ Việt,Đông Hùng,2,,
1786,Rock Vầng Trăng (Giọng Hát Việt Nhí 2016),Trịnh Nhật Minh,2,,
1787,Hồn - Trăng - Máu,Hạc San,2,,
1788,Bay Qua Bão Tố,Xuân Nghi,2,,
1789,Cây Đàn Sinh Viên,B-Rock,2,,
1790,Lòng Tự Hào,Hạc San,2,,
1791,Hoang Ca 13,PAK Band,2,,
1792,Ký Ức,Ygaria,2,,
1793,Bóng Mây Qua Thềm (Live),Sử Duy Vương,2,,
1794,Gọi Dấu Yêu,Hoàng Sơn,2,,
1795,Bong Mây Qua Thềm (Nhân Tố Bí Ẩn),Sử Duy Vương,2,,
1796,Em Sẽ Quay Về,Nu Voltage,2,,
1797,L.E.D (Let Elutheromania Deal),MONOCYCLE,2,,
1798,Xẩm Ngược Đời,Empty Spaces,2,,
1799,Bão Đêm,Quốc Nam,2,,
1800,Lá Đỏ,UnlimiteD,2,,
1801,Tôi Yêu Xe Đạp Vĩnh Lộc,V.A,2,,
1802,Nối Vòng Tay Lớn (Live),UnlimiteD,2,,
1803,Một Điều Là Mãi Mãi,Rose Wood,2,,
1804,Sài Gòn Xưa Và Nay,Nhã Ca,2,,
1805,Khởi Hành,Beat,2,,
1806,Cứ Thế Sống Lo Toan Làm Gì,Nhà Kho,2,,
1807,Cái Này Nè Ku,Wừu,2,,
1808,Việt Nam Ơi,Cuộc Sốngs,2,,
1809,Giọt Đắng,Ngọc Ánh,2,,
1810,Tôi Yêu Hà Nội,Cuộc Sốngs,2,,
1811,Hành Khúc Mai Com Việt Nam,Trần Hữu Kiên,2,,
1812,Tô Tem Sói,KOP,2,,
1813,Furious,Oringchains,2,,
1814,Lối (Tiger Translate Battle Of The Bands),Parasite,2,,
1815,Tạm Biệt Giấc Mơ,Empty Spaces,2,,
1816,Nơi Thành Phố Khác,Bụi Gió,2,,
1817,Lỳ Và Sáo (Giọng Hát Việt Nhí 2015),Gia Khiêm,2,,
1818,Niềm Tin,Cát,2,,
1819,Chiến Tranh,Minh Ca,2,,
1820,Mở Mắt (Awakening),Trần Thu Hà,2,,
1821,Solo,Trần Thu Hà,2,,
1822,Linh Tinh Tình Phộc,Ngũ Cung,2,,
1823,Rhapsody Tháng 10,Oringchains,2,,
1824,Tôi Ngàn Năm Đợi,Thế Danh,2,,
1825,Wait (The X Factor Việt Nam),Tích Kỳ,2,,
1826,Cà Phê Mê,Lâm Tiểu Quỳnh,2,,
1827,Còn Thương Rau Đắng Mọc Sau Hè (Rock Version),Roc Piin,2,,
1828,Hương Tóc Em,Trần Trọng Hiếu,2,,
1829,Con Người Ta,6duk Band,2,,
1830,Nhìn Lại Em Đi (Rock Version),Brother A Tuấn Anh,2,,
1831,Forever And One,Tuấn Thelight,2,,
1832,Ái Hoa,Ngũ Cung,2,,
1833,Thô Sơ 1,The Meo,2,,
1834,Rũ Cánh (Fallen Wings),Trần Thu Hà,2,,
1835,Mặt Nạ,Atmosphere,2,,
1836,Trôi,Bụi Gió,2,,
1837,Hồi Ức - Những Ngày Đợi Nắng,Atmosphere,2,,
1838,Cánh Thư Cuối Cùng,Phú Cường,2,,
1839,The Rebelion,Black Infinity,2,,
1840,Lễ Hội Ea Tam,Minh Chi,2,,
1841,Đêm Giáng Sinh Vui,Zen Vũ Hoàn,2,,
1842,Ngọn Lửa,Cuộc Sốngs,2,,
1843,Sài Gòn Blues,Nhà Kho,2,,
1844,Bay Qua Biển Đông,V.A,2,,
1845,Bạo Động,18+ Band,2,,
1846,Tình Yêu Ấy,"M.O.X, Cuộc Sốngs, K-Hau",2,,
1847,Phố Đêm (Rock Version),Nguyễn Tâm,2,,
1848,Vì Cuộc Đời Là Những Chuyến Xe,Aqua Band,2,,
1849,Gió Bấc (Live),Ngũ Cung,2,,
1850,Những Chuyền Đi Dài Cover,Như Quang,2,,
1851,Khi Những Thiên Tài Xuất Hiện,Wừu,2,,
1852,Đồng Tiền Ma Quái (Bảy Lá Bài OST),Thành Nhân Coco,2,,
1853,Cha Và Con,Hoàng Tùng,2,,
1854,Chơi Vơi Tôi Ru Tôi,My Girls,2,,
1855,Về Ăn Cơm (Live),"Mộc Band, Phương Chi",2,,
1856,Christmas Cannon,"Ngọc Tuyền, UnlimiteD",2,,
1857,Ethereal,MONOCYCLE,2,,
1858,Dòng Máu,Re-Cycle,2,,
1859,Chiếc Gương,Nu Voltage,2,,
1860,Gọi,Duy Hải,2,,
1861,Tắm tiên,Ngũ Cung,2,,
1862,Bài Ca Ngông (The Crazy Song),Elvis Phương,2,,
1863,I Wanna Die,Nhã Ca,2,,
1864,Khát Vọng Doanh Nhân,Hoàng Nghiệp,2,,
1865,Bí Mật Người Ra Đi (Vocalist Blada),Hạc San,2,,
1866,Không Có Người,Kim Thành,2,,
1867,Nắng Gió Bến Tre,Chánh Thu,2,,
1868,Nếu Một Ngày,K300,2,,
1869,Bí Mật,Nhà Kho,2,,
1870,Cháy,Ygaria,2,,
1871,"Một Khí Phách, Một Trái Tim",V.A,2,,
1872,To Kill A Love (Vietnamese Version),White Noise,2,,
1873,Sấm Nửa Đêm,Deep Blue Sea,2,,
1874,Rock Cao Nguyên,Hà Ny,2,,
1875,Gõ Cửa 15,Dép Tổ Ong,2,,
1876,White Love,WhiteNoiz,2,,
1877,Rock Vầng Trăng,Quang Anh Rhyder,2,,
1878,Một Ngày Rong Chơi,Nu Voltage,2,,
1879,Bước Tiếp,Bảo Dũng,2,,
1880,Trả Lại Trái Tim Cho Tôi,Kid7,2,,
1881,Cây Guitar Của Tôi,K300,2,,
1882,Không,Re-Cycle,2,,
1883,Niềm Tin Cho Em,Ygaria,2,,
1884,Hoang Tàn,Hạc San,2,,
1885,Và Ta Đã Thấy Mặt Trời Cover,Hoàng Uyên,2,,
1886,Nhìn Lại Ký Ức,Tích Kỳ,2,,
1887,Nghe,Titanium,2,,
1888,Đ.M.M,Wừu,2,,
1889,Mùa Hè Bất Tận (Live),Vũ Nhật Linh,2,,
1890,Con Số 0,The Wall,2,,
1891,Sự Sống,Ygaria,2,,
1892,Hoang Tàn (Giọng Hát Việt Nhí 2015),Dương Gia Linh,2,,
1893,Đi Ăn Trộm,Wừu,2,,
1894,Dã Quỳ,Y Vol,2,,
1895,Rock Vầng Trăng (The Voice Kids),Quang Anh Rhyder,2,,
1896,Rock Vầng Trăng,Võ Minh Lâm,2,,
1897,Cafe Mê,Tiểu Văn,2,,
1898,Giấc Mơ,K300,2,,
1899,Giây Phút Uyên Ương,K300,2,,
1900,Nhà Kho,Nhà Kho,2,,
1901,Chuyện Buồn Cười Vậy Thôi (Phần 1),Nhà Kho,2,,
1902,Big Field - Cánh Đồng Lớn,Siu Black,2,,
1903,Sẽ Thế Thôi,Ngọc Ánh,2,,
1904,Hãy Như Chưa Từng Yêu Anh,Trí Nhân,2,,
1905,Cuộc sống tươi đẹp,Rosewood,2,,
1906,Khoảng Không,Oringchains,2,,
1907,Thành Phố Lạ,Phú Cường,2,,
1908,Nói Với Con,Đình Nguyên,2,,
1909,Không Là Trò Chơi,Phú Cường,2,,
1910,Chuyện Phiếm,Phú Cường,2,,
1911,Vòng Tròn,Atmosphere,2,,
1912,Ngập Nước,ZigZag,2,,
1913,Tự Hào Sinh Viên Việt Nam,B-Rock,2,,
1914,Hỗn Mang,Hạc San,2,,
1915,Trách,CoCC Band,2,,
1916,Vòng Tròn - Những Ngày Đợi Nắng,Atmosphere,2,,
1917,Ngày Tận Thế (Version 2013),Thủy Triều Đỏ,2,,
1918,Về Nghe Gió Kể,V.A,2,,
1919,Gọi Tia Nắng Trong Em,Hoàng Hải Đăng,2,,
1920,Niềm Vui Sống,V.A,2,,
1921,Quay Lại (Indie Rock),Bác Sĩ Mập Hồng,2,,
1922,Ngựa Ô Thương Nhớ,TN.Boys,2,,
1923,Những Điều Vô Nghĩa,Atmosphere,2,,
1924,Người Đàn Bà Hóa Đá,Nguyên Trí,2,,
1925,Sẽ Thế Thôi Cover,Lang Lâm,2,,
1926,Bài Tình Ca Cũ Mèm,K300,2,,
1927,Happy New Year (Rock Version),Tô Gia Tuấn,2,,
1928,Thời Gian Đã Hết,Bảo Dũng,2,,
1929,Đừng nhìn lại,Nam Kún,2,,
1930,Đường Về,Thủy Triều Đỏ,2,,
1931,Rock Buồn,Nguyễn Hồng Nhung,2,,
1932,Ký Ức Đánh Mất,Re-Cycle,2,,
1933,Đường Đến Ngày Vinh Quang,BigClub,2,,
1934,Món Quà,CoCC Band,2,,
1935,Giấc Mơ Về Mẹ,La Công,2,,
1936,Rock Cao Nguyên,Krajan Út,2,,
1937,Thiên Thần Của Anh,Tuấn Nguyễn,2,,
1938,Ngụ Ngôn Khỉ Con,Diên An,2,,
1939,Không Trọng Lực (Part2),Empty Spaces,2,,
1940,"Người Con Gái Sông La, Ngọn Lửa Cao Nguyên",V.A,2,,
1941,Ly Cafe Ban Mê,Bảo Trọng,2,,
1942,Shadow Of Dreams (Piano Version),Black Infinity,2,,
1943,Nói Với Con,K300,2,,
1944,Chuyện Buồn Cười Vậy Thôi (Phần 2),Nhà Kho,2,,
1945,Cùng Đường,Epione,2,,
1946,Người Đàn Bà Hóa Đá,Bùi Văn Quyền,2,,
1947,Bình minh sinh viên,Cao Phan Quang,2,,
1948,Một Chút Nắng Và Gió,Trần Hoàng Anh,2,,
1949,Rock Việt Là Rock Gì?,Wừu,2,,
1950,Funky Xuân,Phú Cường,2,,
1951,Dốc Đêm,Sử Duy Vương,2,,
1952,Khói,Second Life,2,,
1953,Kẻ Phản Bội,Hạc San,2,,
1954,Ve Chai,CoCC Band,2,,
1955,Tiều Phu,Hạc San,2,,
1956,Rock Xuân Sang,Hero Band,2,,
1957,Hồn Biển,MTV,2,,
1958,Đôi Chân Trần,V.A,2,,
1959,Break,"Bụi Gió, Tuấn Khanh",2,,
1960,Súc Vật,Voluptuary,2,,
1961,Animal,Voluptuary,2,,
1962,Đóng Băng,Re-Cycle,2,,
1963,Bình Minh,Re-Cycle,2,,
1964,18+ (Live),18+ Band,2,,
1965,Tình Yêu Tuyệt Vời (The Greatest Love),V.A,2,,
1966,Biển Hát,Da Vàng,2,,
1967,Lý Ngựa Ô,V.A,2,,
1968,Những Giấc Mơ Trong Giấc Mơ,In Your Eyes,2,,
1969,Ngụy Biện,Trần Trọng Hiếu,2,,
1970,Giọt Sương Và Chiếc Lá,Phương Anh,2,,
1971,Lần Đầu Nói Dối,Beat,2,,
1972,Giọt Lệ,Cuộc Sốngs,2,,
1973,Mẹ Ơi Cho Con Mơ,Cuộc Sốngs,2,,
1974,Ba Hợp Âm,Cuộc Sốngs,2,,
1975,Ngọn Nến Tháng 7,K300,2,,
1976,Chiến Binh (Live),UnlimiteD,2,,
1977,Chạng Vạng,18+ Band,2,,
1978,9 Người 101 Ý,Wừu,2,,
1979,Luật Dùi Cui,Wừu,2,,
1980,Tìm Lại,Tâmduke,2,,
1981,Mặt Trời,Oringchains,2,,
1982,Cánh Thư Cuối Cùng,K300,2,,
1983,Đói Bụng,Wừu,2,,
1984,Đi Dạo Phố,Wừu,2,,
1985,Nơi Tuổi Thơ Tôi Qua,Đình Nguyên,2,,
1986,Lũ Ăn Xin,CoCC Band,2,,
1987,Về Đâu Bóng Đêm Và Em,Nhã Ca,2,,
1988,Captiva Club Việt Nam,V.A,2,,
1989,Dreaming (Tell Me) (VietNamese Version),SGN,2,,
1990,Nhớ Mãi Em Cao Nguyên,Quốc Nam,2,,
1991,Đêm,N.A,2,,
1992,Dại Dột Ơi,Đình Nguyên,2,,
1993,Anh Muốn (Live),18+ Band,2,,
1994,Là Con Gái Thật Tuyệt (Rock Version),Tô Gia Tuấn,2,,
1995,Những Viên Hạnh Phúc,K300,2,,
1996,The Mirror,Nu Voltage,2,,
1997,Xa,Thủy Triều Đỏ,2,,
1998,Xin Hãy Yêu Đời,K300,2,,
1999,Quán Cóc,Trần Chương,2,,
2000,Nhịp Khúc Giao Thừa,K300,2,,
2001,Điều Trái Tim Muốn,K300,2,,
2002,Sư Tử Phi Châu,Minh Ca,2,,
2003,Today Is My Birthday,Phú Cường,2,,
2004,Khùng,Wừu,2,,
2005,Vượn,Cuộc Sốngs,2,,
2006,Tao Là Tao,Wừu,2,,
2007,Hoang Tưởng,Wừu,2,,
2008,Tâm Hồn Của Đá,Phạm Vũ,2,,
2009,Ôi Khốn Khổ,Cuộc Sốngs,2,,
2010,Câu Hò Xự Xang Xê Cống (Live),MTV,2,,
2011,She's Gone,Bumblebee,2,,
2012,Cô Hàng Xóm,Cút Lộn,2,,
2013,Tám Điều Gấu Dặn,Cút Lộn,2,,
2014,Khu Em Sống,Cút Lộn,2,,
2015,Em Đi Xe Hơi,Cút Lộn,2,,
2016,Nơi Không Có Một Tình Yêu,In Your Eyes,2,,
2017,LongPong,Vuông,2,,
2018,Nhớ Rừng,Quốc Nam,2,,
2019,Tìm Về,Hot Sky,2,,
2020,Anophen,Wừu,2,,
2021,Last Shelter,ZigZag,2,,
2022,Lời Tình Của Đá,Ksor Đức,2,,
2023,Người Đàn Bà Hóa Đá,Nguyễn Kiêm Lợi,2,,
2024,Giọt Đàn Thạch Sanh,Dương Tuấn Khanh,2,,
2025,Cà Phê Mê,Đức Thành,2,,
2026,Chim Cánh Cụt,Sagometal,2,,
2027,Như Một Lời Chia Tay (Giao Lộ Thời Gian),Khánh Ly,3,,
2028,Ru Ta Ngậm Ngùi,Mộc San,3,,
2029,Biển Nhớ,Mộc San,3,,
2030,Nhìn Những Mùa Thu Đi (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
2031,Mưa Hồng,"Hoàng Duyên, Obito",3,,
2032,Nhìn Những Mùa Thu Đi,Mỹ Anh,3,,
2033,Diễm Xưa,"Lệ Hồng, Thiên An",3,,
2034,Mưa Hồng (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
2035,Nắng Thủy Tinh,Hoàng Dũng,3,,
2036,Hạ Trắng (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
2037,Dấu Chân Địa Đàng,"Lệ Hồng, Thiên An",3,,
2038,Nắng Thủy Tinh (Em Và Trịnh Original Soundtrack),"Avin Lu, Hoàng Hà",3,,
2039,Diễm Xưa,Kiên Trịnh,3,,
2040,Tình Nhớ,Phan Mạnh Quỳnh,3,,
2041,Còn Tuổi Nào Cho Em (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
2042,Biển Nhớ,"Lệ Hồng, Thiên An",3,,
2043,Tuổi Đá Buồn,Juky San,3,,
2044,Chiều Một Mình Qua Phố,"Lệ Hồng, Thiên An",3,,
2045,Diễm Xưa (Em Và Trịnh Original Soundtrack),Akari Nakatani,3,,
2046,Cát Bụi,"Lệ Hồng, Thiên An",3,,
2047,Nắng Thủy Tinh,"Avin Lu, Suni Hạ Linh",3,,
2048,Xin Cho Tôi,"Lệ Hồng, Thiên An",3,,
2049,Còn Tuổi Nào Cho Em,"Lệ Hồng, Thiên An",3,,
2050,Chiếc Lá Thu Phai,"Lệ Hồng, Thiên An",3,,
2051,Ca Dao Mẹ,"Lệ Hồng, Thiên An",3,,
2052,Ướt Mi (Em Và Trịnh Original Soundtrack),Nhật Linh,3,,
2053,Tình Sầu (Em Và Trịnh Original Soundtrack),Avin Lu,3,,
2054,Mỗi Ngày Tôi Chọn Một Niềm Vui,"Bùi Lan Hương, Avin Lu",3,,
2055,Mưa Hồng,"Lệ Hồng, Thiên An",3,,
2056,Phôi Pha,"Lệ Hồng, Thiên An",3,,
2057,Quỳnh Hương,"Mew Amazing, G.Ducky, Orange",3,,
2058,Nhìn Những Mùa Thu Đi Cover,Tú,3,,
2059,Còn Tuổi Nào Cho Em Cover,Đỗ Ngọc,3,,
2060,Diễm Xưa,Lệ Quyên,3,,
2061,Cát Bụi (Cover),Nguyễn Phương Hằng,3,,
2062,Ướt Mi,Lệ Quyên,3,,
2063,Còn Tuổi Nào Cho Em,Lệ Quyên,3,,
2064,Mưa Hồng,"Hà Lê, Bùi Lan Hương",3,,
2065,Mưa Hồng,Lệ Quyên,3,,
2066,Chiều Một Mình Qua Phố,Lân Nhã,3,,
2067,Như Một Lời Chia Tay (Giao Lộ Thời Gian),Khánh Ly,3,,
2068,Ru Ta Ngậm Ngùi,Mộc San,3,,
2069,Biển Nhớ,Mộc San,3,,
2070,Nhìn Những Mùa Thu Đi (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
2071,Mưa Hồng,"Hoàng Duyên, Obito",3,,
2072,Nhìn Những Mùa Thu Đi,Mỹ Anh,3,,
2073,Diễm Xưa,"Lệ Hồng, Thiên An",3,,
2074,Mưa Hồng (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
2075,Nắng Thủy Tinh,Hoàng Dũng,3,,
2076,Hạ Trắng (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
2077,Dấu Chân Địa Đàng,"Lệ Hồng, Thiên An",3,,
2078,Nắng Thủy Tinh (Em Và Trịnh Original Soundtrack),"Avin Lu, Hoàng Hà",3,,
2079,Diễm Xưa,Kiên Trịnh,3,,
2080,Tình Nhớ,Phan Mạnh Quỳnh,3,,
2081,Còn Tuổi Nào Cho Em (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
2082,Biển Nhớ,"Lệ Hồng, Thiên An",3,,
2083,Tuổi Đá Buồn,Juky San,3,,
2084,Chiều Một Mình Qua Phố,"Lệ Hồng, Thiên An",3,,
2085,Diễm Xưa (Em Và Trịnh Original Soundtrack),Akari Nakatani,3,,
2086,Cát Bụi,"Lệ Hồng, Thiên An",3,,
2087,Nắng Thủy Tinh,"Avin Lu, Suni Hạ Linh",3,,
2088,Xin Cho Tôi,"Lệ Hồng, Thiên An",3,,
2089,Còn Tuổi Nào Cho Em,"Lệ Hồng, Thiên An",3,,
2090,Chiếc Lá Thu Phai,"Lệ Hồng, Thiên An",3,,
2091,Ca Dao Mẹ,"Lệ Hồng, Thiên An",3,,
2092,Ướt Mi (Em Và Trịnh Original Soundtrack),Nhật Linh,3,,
2093,Tình Sầu (Em Và Trịnh Original Soundtrack),Avin Lu,3,,
2094,Mỗi Ngày Tôi Chọn Một Niềm Vui,"Bùi Lan Hương, Avin Lu",3,,
2095,Mưa Hồng,"Lệ Hồng, Thiên An",3,,
2096,Phôi Pha,"Lệ Hồng, Thiên An",3,,
2097,Quỳnh Hương,"Mew Amazing, G.Ducky, Orange",3,,
2098,Nhìn Những Mùa Thu Đi Cover,Tú,3,,
2099,Còn Tuổi Nào Cho Em Cover,Đỗ Ngọc,3,,
2100,Diễm Xưa,Lệ Quyên,3,,
2101,Cát Bụi (Cover),Nguyễn Phương Hằng,3,,
2102,Ướt Mi,Lệ Quyên,3,,
2103,Còn Tuổi Nào Cho Em,Lệ Quyên,3,,
2104,Mưa Hồng,"Hà Lê, Bùi Lan Hương",3,,
2105,Mưa Hồng,Lệ Quyên,3,,
2106,Chiều Một Mình Qua Phố,Lân Nhã,3,,
2107,Còn Tuổi Nào Cho Em (Em Là Bà Nội Của Anh OST),Miu Lê,3,,
2108,Biển Nhớ,Lệ Quyên,3,,
2109,Dấu Chân Địa Đàng,Lệ Quyên,3,,
2110,Ở Trọ,Hà Lê,3,,
2111,Để Gió Cuốn Đi (Lofi Version),Hà Lê,3,,
2112,Ru Ta Ngậm Ngùi,Lệ Quyên,3,,
2113,Sóng Về Đâu,Lệ Quyên,3,,
2114,Ru Em Từng Ngón Xuân Nồng,Lệ Quyên,3,,
2115,Hạ Trắng,Giang Hồng Ngọc,3,,
2116,Phôi Pha,Lệ Quyên,3,,
2117,Ru Đời Đi Nhé,Lệ Quyên,3,,
2118,Gọi Tên Bốn Mùa,Lệ Quyên,3,,
2119,Ta Đã Thấy Gì Trong Đêm Nay,Huyền Trang,3,,
2120,Diễm Xưa,Hà Lê,3,,
2121,Em Là Hoa Hồng Nhỏ,Bé Minh Vy,3,,
2122,Cho Đời Chút Ơn,V.A,3,,
2123,Phôi Pha,Tuấn Ngọc,3,,
2124,Tuổi Đá Buồn,Hà Lê,3,,
2125,Mỗi Ngày Tôi Chọn Một Niềm Vui,Trịnh Công Sơn,3,,
2126,Biển Nhớ,Hà Lê,3,,
2127,Diễm Xưa (Em Là Bà Nội Của Anh OST),Miu Lê,3,,
2128,Hạ Trắng,Ngọc Lan,3,,
2129,Lời Tự Sự Của Trịnh Công Sơn,Trịnh Công Sơn,3,,
2130,Nối Vòng Tay Lớn,Phi Nhung,3,,
2131,Hoa Vàng Mấy Độ,Phạm Anh Duy,3,,
2132,Nhớ Mùa Thu Hà Nội,Hà Lê,3,,
2133,Tình Sầu,Thanh Hà,3,,
2134,Huế Sài Gòn Hà Nội,Hà Lê,3,,
2135,Tuổi Đời Mênh Mông,Bảo Yến,3,,
2136,Biển Nhớ,Mạnh Đồng,3,,
2137,Mưa Hồng,Lân Nhã,3,,
2138,Để Gió Cuốn Đi,Thùy Chi,3,,
2139,Biển Nhớ,Dương Triệu Vũ,3,,
2140,Biển Nhớ,Ngọc Lan,3,,
2141,Tuổi Đời Mênh Mông,Hồng Nhung,3,,
2142,Huyền Thoại Mẹ,Bé My Phạm,3,,
2143,Tuổi Đá Buồn,Hồng Nhung,3,,
2144,Còn Tuổi Nào Cho Em,Bé My Phạm,3,,
2145,Gọi Tên Bốn Mùa,Lệ Thu,3,,
2146,Tình Xa (Ca Sĩ Bí Ẩn),Ánh Nguyệt,3,,
2147,Rồi Như Đá Ngây Ngô,Ngọc Lan,3,,
2148,Em Còn Nhớ Hay Em Đã Quên,Nguyễn Đình Toàn,3,,
2149,Tiến Thoái Lưỡng Nan,Ngọc Mai,3,,
2150,Để Gió Cuốn Đi,"Hiền Thục, Đức Tuấn",3,,
2151,Hôm Nay Tôi Nghe,V.A,3,,
2152,Mưa Hồng,Tạ Quang Bình,3,,
2153,Ca Dao Mẹ Cover,Anh Duy Ynt,3,,
2154,Nhìn Những Mùa Thu Đi,Tùng Dương,3,,
2155,Tình Nhớ,Thanh Hiền,3,,
2156,Cát Bụi,"Quang Dũng, Hồng Nhung",3,,
2157,Lặng Lẽ Nơi Này,Trịnh Công Sơn,3,,
2158,Ru Em Từng Ngón Xuân Nồng,Ngọc Lan,3,,
2159,Vườn Xưa,Giang Trang,3,,
2160,Hoa Vàng Mấy Độ,Bảo Trâm,3,,
2161,Ru Em Từng Ngón Xuân Nồng (Live),"Lệ Quyên, Hồng Nhung",3,,
2162,Đóa Hoa Vô Thường,Tuyết Phượng,3,,
2163,Hạ Trắng,Trần Vũ,3,,
2164,Ru Em Từng Ngón Xuân Hồng,Tuấn Ngọc,3,,
2165,Còn Tuổi Nào Cho Em,Khánh Hạ,3,,
2166,Đời Cho Ta Thế,Trịnh Công Sơn,3,,
2167,Như Cánh Vạc Bay,"Phương Phương, Khắc Huy",3,,
2168,Diễm Xưa (Live),"Đăng Nguyên, Khắc Minh",3,,
2169,Ngủ Đi Con,Trịnh Công Sơn,3,,
2170,Tưởng Rằng Đã Quên,Xuân Phú,3,,
2171,Ca Dao Mẹ,Đàm Vĩnh Hưng,3,,
2172,Phù Du,Nguyễn Đình Toàn,3,,
2173,Nhìn Những Mùa Thu Đi,Julia Nguyễn,3,,
2174,Ru Đời Đi Nhé,Nguyễn Đình Toàn,3,,
2175,Rừng Xưa Đã Khép,Mộc Miên,3,,
2176,Một Cõi Đi Về,Mộc Miên,3,,
2177,Vết Lăn Trầm,Quang Ngọc,3,,
2178,Trong Nỗi Đau Tình Cờ,Trịnh Công Sơn,3,,
2179,Cát Bụi,Quang Hà,3,,
2180,Cũng Sẽ Chìm Trôi,Trịnh Công Sơn,3,,
2181,Biển Nhớ,Tuyết Phượng,3,,
2182,Diễm Xưa,Bé My Phạm,3,,
2183,Một Cõi Đi Về,Bằng Cường,3,,
2184,Nhìn Những Mùa Thu Đi,Hồng Nhung,3,,
2185,Giọt Lệ Thiên Thu,Trịnh Công Sơn,3,,
2186,Bốn Mùa Thay Lá,Tuấn Ngọc,3,,
2187,Còn Tuổi Nào Cho Em,Tuyết Phượng,3,,
2188,Rừng Xanh Xanh Mãi,Hiền Thục,3,,
2189,Em Đi Trong Chiều,Như Tuyết,3,,
2190,Sóng Về Đâu,Mộc Miên,3,,
2191,Bống Không Là Bống,Trịnh Công Sơn,3,,
2192,Tiến Thoái Lưỡng Nan,Andre Lecharoux,3,,
2193,Tuổi Đá Buồn,Giang Trang,3,,
2194,Còn Tuổi Nào Cho Em,Mộc Miên,3,,
2195,Nối Vòng Tay Lớn,Quang Dũng,3,,
2196,Ca Dao Mẹ,Trịnh Công Sơn,3,,
2197,RU TA NGẬM NGÙI (Hòa Tấu Guitar),Guitar Nam Vĩnh,3,,
